name,artist,theme,lyrics
123,Claire Rosinkranz,situationship,"I'm sorry, I know that you were hopin' To break something already broken Guess you won't get the chance 'Cause we finished this dance I'm wasting your time And by the way, you're a shitty dancer I don't wanna say I love you 'Cause that's a little, that's a lotta cliché taboo Eye to eye, got me high, trippin' over my shoes On the concrete, got me sick like the flu Down for the count like one, two, three Everybody's fallin' in it, it everybody but me (Wait a minute) wait a minute, I got somewhere to be On the concrete running 'cause I'm outta your league I, I just want to mess up what we have I, maybe you should listen to my dad I, stop holding onto things you know won't last Leave the past in the past It's the past, bitch Don't call me, we've already spoken Think you can fix me, are you joking? Down for the count like one, two, three That's a little, that's a lot, too much for me Kind of thought to myself like you plus me On the sidewalk, oh that'd be something to see I was looking at my phone, are you on your way? If you wanna book me, boy, call CAA I move on fast, I don't really wanna play Get outta my way, get outta my way I, I just want to mess up what we have I, maybe you should listen to my dad I, stop holding onto things you know won't last Leave the past in the past It's the past Na na na na, na na na na Na na na na, na na na na na I, stop holding onto things you know won't last Leave the past in the past It's the past, bitch"
360,Charli XCX,partying,"I went my own way and I made it I'm your favorite reference, baby Call me Gabbriette, you're so inspired Ah, ah I'm tectonic, moves, I make 'em Shock you like defibrillators No style? I can't relate I'll always be the one, ah Drop down, yeah Put the camera flash on So stylish Baby tee is all gone Drop down, yeah Lookin' like an icon Work angles, yeah Yeah, 360 When you're in the mirror, do you like what you see? When you're in the mirror, you're just looking at me I'm everywhere, I'm so Julia Ah-ah, ah When you're in the party b-b-bumpin' that beat 666 with a princess streak I'm everywhere, I'm so Julia Ah-ah, ah Bumpin' that Bumpin' that Bumpin' that That city sewer slut's the vibe Internationally recognized I set the tone, it's my design And it's stuck in your mind Legacy is undebated You gon' jump if A. G. made it If you love it, if you hate it I don't fucking care what you think Drop down, yeah Put the camera flash on So stylish Baby tee is all gone Drop down, yeah Lookin' like an icon Work angles, yeah Yeah, 360 When you're in the mirror, do you like what you see? When you're in the mirror, you're just looking at me I'm everywhere, I'm so Julia Ah-ah, ah When you're in the party b-b-bumpin' that beat 666 with a princess streak I'm everywhere, I'm so Julia Ah-ah, ah Bumpin' that Bumpin' that Bumpin' that Ah-ah, ah Bumpin' that Bumpin' that Bumpin' that Ah-ah, ah"
15 Minutes,Sabrina Carpenter,crush,"The clock is tickin' lately Guess that means I'm doin' something right Been here a long time, baby But gosh, I hope I make it through the night It's fleetin' like my battery life Hard to hold on to like every guy When you're hot, it's just a matter of time But I can do a lot with fifteen minutes Lot of pretty boys, lot of funny business Take a couple bucks, turn 'em into millions You, you, you know I I can do a lot with fifteen minutes Only gonna take two to make you finish Piss some people off, show 'em what they're missin' You, you, you know I can Where did all these parties come from? When did all you bitches get so nice? Runnin' out of the woodwork And hopin' there's no brain between my eyes (My, my) Well, it's fleetin' like we're all gonna die (All gonna die) Hard to hold like conversations when high (Conversations when high) When you're hot, they're gonna eat you alive (Alive, alive, alive) But I can do a lot with fifteen minutes (I can) Lot of pretty boys, lot of funny business (Tell me I'm wrong) Take a couple bucks, turn 'em into millions You, you, you know I I can do a lot with fifteen minutes (Sure can) Only gonna take two to make you finish (No) Piss some people off, show 'em what they're missin' (Ooh, you) You, you, you know I can I You know I You know I Oh, when my time's up, baby (Na-na-na) I'll leak some pictures maybe (No) Say somethin' batshit crazy I'll do it, don't you make me When my time's up, baby (Time's up, baby) I'll leak some pictures maybe Say somethin' batshit crazy I'll do it, don't you make me, yeah, oh (Ah) Uh-uh, uh, uh Uh, I'll do it Oh, I'll do it Oh, I'll do it, babe"
1980s Horror Film II,Wallows,unrequited,"She was only seventeen Oh, why are girls in songs always seventeen? She was from a movie scene And now she plays in my head all day She called me up And let me in I couldn't feel my legs She walked me back Into her room But just to see A 1980s horror film I, oh, I was so scared She had the curtains down, so there was no glare She pulled up a chair and gave me the bed And all these crazy things went through my head It seems so long I need someone I don't know what to say She was sitting there I could touch her hair But still we watched A 1980s horror film Jamie I don't know what to say to you I feel You're always on my mind And now that I know what I need I'm taking the long way round in my mind It's not right I can't help the way I feel anymore And I need to ask you, Jamie Oh, can it be that you feel this way, too? The lights were off The mood was right She came and laid with me I looked into her eyes Tried to make her mine But then she said I'm really not that into guys 1980s horror film 1980s horror film 1980s horror film 1980s horror film"
20 Questions,Zolita,jealousy,"Baby, I wanna take you out Something I wanna ask about Go put on your nice dress Hope you like surprises I picked the spot where we first met Got you your favorite glass of red I forgot to mention I got 20 questions Was she sweet? Did you cry? Was it everything you wanted? Was she drunk? Were you high? Did you fuck her in the closet? Did she say ""I love you"" Like the way I used to? Was it quick? Was it long? Did you do it how I like it? With the lights kinda on Was she loud or was she quiet? Did she say ""I love you"" Like the way I used to? I got 20 questions for you You got a sick look on your face I get off watching You get so defensive No use in pretending I got my confession You were just a lesson I gave you my best and You just gave me questions Was she sweet? Did you cry? Was it everything you wanted? Was she drunk? Were you high? Did you fuck her in the closet? Did she say ""I love you"" Like the way I used to? Was it quick? Was it long? Did you do it how I like it? With the lights kinda on Was she loud or was she quiet? Did she say ""I love you"" Like the way I used to? I got 20 questions for you I got 20 questions for you (Ooh-ooh-ooh-ooh) I got 20 questions for you (Ooh-ooh-ooh-ooh) I got 20 questions for you When she smiles do you die? Did you take her to that spot We used to go late at night? Did you memorize her body? Does she know I love you? I hate that I do Was she sweet? Did you cry? Was it everything you wanted? Was she drunk? Were you high? Did you fuck her in the closet? Did she say ""I love you"" Like the way I used to? Was it quick? Was it long? Did you do it how I like it? With the lights kinda on Was she loud or was she quiet? Did she say ""I love you"" Like the way I used to? hey I got 20 questions for you"
20 Something,SZA,growing up,"How you ain't say you was movin' forward? Honesty hurts when you're gettin' older I gotta say I'll miss the way you need me, yeah Why you ain't say you was gettin' bored? Why you ain't say I was fallin' short? How you lead me out so far away? How could it be 20-something, all alone still? Not a thing in my name Ain't got nothin', runnin' from love Only know fear That's me, Ms. 20-something Ain't got nothin', runnin' from love Wish you were here, oh Stuck in them 20-somethings, stuck in them 20-somethings Good luck on them 20-somethings, good luck on them 20-somethings But God bless these 20-somethings (God bless, oh God bless, oh God bless, oh God bless, oh) Hopin' my 20-somethings won't end Hopin' to keep the rest of my friends Prayin' the 20-somethings don't kill me (don't kill me) Kill me (don't kill me) Weird, took us so long to separate I feel, it's permanent like a riptide, this time Waves crashing fast, I try Think of the past, please stay (How could it be?) How could it be 20-something, all alone still? Not a phone in my name Ain't got nothin', runnin' from love Only know fear That's me, Ms. 20-something Ain't got nothin', runnin' from love Wish you were here, oh Stuck in them 20-somethings, stuck in them 20-somethings Good luck on them 20-somethings, good luck on them 20-somethings But God bless these 20-somethings (God bless, oh God bless, oh God bless, oh God bless, oh) Hopin' my 20-somethings won't end Hopin' to keep the rest of my friends Prayin' the 20-somethings don't kill me (don't kill me) Kill me (don't kill me) God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh God bless, oh And if it's an illusion, I don't want to wake up. I'm gonna hang on to it Because the, the alternative is an abyss, is just a hole, a darkness, a nothingness Who wants that? You know? So that's what I think about CTRL, and that's my story And I'm sticking to it That was beautiful mommy, that was perfect"
24 Hours,Chloe Slater,rebellion,Its not clear if I am ripening or rotting It girl told me if Im sad to just go shopping Kinda wish I could cut holes in all her french designer pockets but I cant Shes a waitress and works part time as a hobby Spends her wages in ten days on hipster coffee Then moves abroad to be a star Id love to live on daddys money but I cant Am I pathetic for being lost Only ever slip through the back door Cos apathetic comes at a cost Babe I swear to god that I need this more And my imagination frequents your life Thirty seconds snippets that twist the knife Your 24 hours arent the same as mine And I would look so much better if I had your clothes I watched the whole series when you did your nose Even though it always looked fine Your 24 hours arent worth the same as mine Youre a fucking liar but wait I just wanna watch you unbox even more land waste Because it scratches my brain My attention span is been lacking as of late Tell me about that awful date How you had to go home and masturbate I doom scroll through all the hate Please distract me from the state of the world as I know it Am I pathetic for being lost Only ever slip through the back door Cos apathetic comes at a cost Babe I swear to god that I need this more And my imagination frequents your life Thirty seconds snippets that twist the knife Your 24 hours arent the same as mine And I would look so much better if I had your clothes I watched the whole series when you did your nose Even though it always looked fine Your 24 hours arent worth the same as mine Saw you on a billboard babe When I was walking to my 9 to 5 I know that the worlds a stage Cant help thinking if I had your life Id be dressed to the nines Id be out all night Id be drinking wine Sink in with a backstage pass With a brand new ass Id be quite alright And my imagination frequents your life Thirty seconds snippets that twist the knife Your 24 hours arent the same as mine And I would look so much better if I had your clothes I watched the whole series when you did your nose Even though it always looked fine Your 24 hours arent worth the same as mine
7 Years,Lukas Graham,growing up,"Once I was seven years old, my mama told me ""Go make yourself some friends, or you'll be lonely"" Once, I was seven years old It was a big, big world, but we thought we were bigger Pushin' each other to the limits, we were learnin' quicker By 11, smokin' herb and drinkin', burnin' liquor Never rich, so we were out to make that steady figure Once I was 11 years old, my daddy told me ""Go get yourself a wife, or you'll be lonely"" Once, I was 11 years old I always had that dream like my daddy before me So I started writin' songs, I started writin' stories Somethin' about that glory just always seemed to bore me 'Cause only those I really love will ever really know me Once I was 20 years old, my story got told Before the mornin' sun, when life was lonely Once, I was 20 years old (Lukas Graham!) I only see my goals, I don't believe in failure 'Cause I know the smallest voices, they can make it major I got my boys with me, at least those in favor And if we don't meet before I leave, I hope I'll see you later Once I was 20 years old, my story got told I was writin' 'bout everything I saw before me Once, I was 20 years old Soon, we'll be 30 years old, our songs have been sold We've traveled around the world, and we're still roamin' Soon, we'll be 30 years old I'm still learnin' about life, my woman brought children for me So I can sing them all my songs, and I can tell them stories Most of my boys are with me, some are still out seeking glory And some I had to leave behind, my brother, I'm still sorry Soon, I'll be 60 years old, my daddy got 61 Remember life and then your life becomes a better one I made a man so happy when I wrote a letter once I hope my children come and visit once or twice a month Soon, I'll be 60 years old, will I think the world is cold? Or will I have a lot of children who can warm me? Soon, I'll be 60 years old Soon, I'll be 60 years old, will I think the world is cold? Or will I have a lot of children who can warm me? Soon, I'll be 60 years old Once I was seven years old, my mama told me ""Go make yourself some friends, or you'll be lonely"" Once, I was seven years old Once, I was seven years old"
A Big Brown Dog Named Bagel,nep,love,I kinda wanted to bite Cause shes tall in the knees Yeah shes got some height over me She doesnt know what I like Our conversations are mostly touching thighs And sighs and quiet his Nobody knows what she tastes like but I She told me that she likelikes me On the seventh floor of the library last night I kinda started my life On the seventh floor of the library last night I grabbed her hand and we danced The sugar push in the fiction aisle She made me shout and yell it out Cause she loves it oh she loves how I sound Im gonna treat you like a princess I wanna taste you like ambrosia baby Im gonna marry you one of these days oh Just you wait oh just you wait yeah oh Woo On certain days she gets quiet Just reads with her head in my lap And some green in her eyes We never get into fights But she loves when Im loud Yeah she definitely loves hearing just what I like What about the way shes touching me feels right I like the way she bites the way she talks the way she looks when I smile The way she talks to me at night When were laid down and feelin real quiet We mess around and get real quiet Im gonna treat you like a princess I wanna taste you like ambrosia baby Im gonna marry you one of these days oh Just you wait oh just you wait Ohoh ohoh ohohoh ohoh oh I feel like were gonna marry way too quickly Im in love with your name Ill buy you a big old house on a big old hill And Ill grow old with my baby til shes dead Im in love with your name I feel like were gonna marry way too quickly Im in love with your name Ill buy you a big brown dog Name him after a food And hell grow old with us baby til were dead Im in love with your name
A Change Of Heart,The 1975,moving on,Are we awake? Am I too old to be this stoned? Was it your breasts from the start? They played a part For goodness sake I wasnt told youd be this cold Now its my time to depart and I just had a change of heart Ill quote On the road like a twat And wind my way out of the city Finding a girl who is equally pretty wont be hard Oh I just had a change of heart You smashed a glass into pieces Thats around the time I left And you were coming across as clever Then you lit the wrong end of your cigarette You said Im full of diseases Your eyes were full of regret And then you took a picture of your salad And put it on the Internet Then she said Ive been so worried about you lately You look shit and you smell a bit Youre mad thinking you could ever save me Not looking like that You used to have a face straight out of a magazine Now you just look like anyone I just had a change of heart I feel as though I was deceived I never found love in the city I just sat in selfpity and cried in the car Oh I just had a change of heart Then she said Ive been so worried bout you lately You were fit but youre losing it You played a part this is how it starts Oh I just had a change of heart Oh I just had a change of heart I just had a change of heart I just had a change of heart I just had a change of heart I just had a change of heart
